/usr/local/Cellar/python3/3.6.1/Frameworks/Python.framework/Versions/3.6/bin/python3.6 /Users/emperor/HU/BA/semisuper/test_biased_svm.py
Loaded summaries and abstracts from disk.
No. of PubMed IDs:	 2251
No. of abstracts:	 1228
CIViC sentences: 4970
Abstract sentences: 12496
PIBOSO sentences: 2712


---------------
BIASED-SVM TEST
---------------

There are 132 parameter combinations to be evaluated.
NON-NORMALIZED WEIGHTS

(0.24433734939759039, {'C_pos': 0.01, 'C_neg': 0.01, 'C': 0.1})
(0, {'C_pos': 2.0100000000000002, 'C_neg': 0.01, 'C': 0.1})
(0, {'C_pos': 4.0099999999999998, 'C_neg': 0.01, 'C': 0.1})
(0, {'C_pos': 6.0099999999999998, 'C_neg': 0.01, 'C': 0.1})
(0, {'C_pos': 8.0099999999999998, 'C_neg': 0.01, 'C': 0.1})
(0, {'C_pos': 10.01, 'C_neg': 0.01, 'C': 0.1})
(0, {'C_pos': 12.01, 'C_neg': 0.01, 'C': 0.1})
(0, {'C_pos': 14.01, 'C_neg': 0.01, 'C': 0.1})
(0, {'C_pos': 16.010000000000002, 'C_neg': 0.01, 'C': 0.1})
(0, {'C_pos': 18.010000000000002, 'C_neg': 0.01, 'C': 0.1})
(0, {'C_pos': 20.010000000000002, 'C_neg': 0.01, 'C': 0.1})
(0.24433734939759039, {'C_pos': 0.33000000000000002, 'C_neg': 0.33000000000000002, 'C': 0.1})
(0, {'C_pos': 66.329999999999998, 'C_neg': 0.33000000000000002, 'C': 0.1})
(0, {'C_pos': 132.33000000000001, 'C_neg': 0.33000000000000002, 'C': 0.1})
(0, {'C_pos': 198.33000000000001, 'C_neg': 0.33000000000000002, 'C': 0.1})
(0, {'C_pos': 264.32999999999998, 'C_neg': 0.33000000000000002, 'C': 0.1})
(0, {'C_pos': 330.33000000000004, 'C_neg': 0.33000000000000002, 'C': 0.1})
(0, {'C_pos': 396.33000000000004, 'C_neg': 0.33000000000000002, 'C': 0.1})
(0, {'C_pos': 462.33000000000004, 'C_neg': 0.33000000000000002, 'C': 0.1})
(0, {'C_pos': 528.33000000000004, 'C_neg': 0.33000000000000002, 'C': 0.1})
