,Label,Text,Tokens
0,neg,OBJECTIVES,['objectives']
1,neg,METHODS,['methods']
2,neg,RESULTS,['results']
3,neg,CONCLUSIONS,['conclusions']
4,neg,OBJECTIVE,['objective']
5,neg,METHOD,['method']
6,neg,RESULTS,['results']
7,neg,CONCLUSIONS,['conclusions']
8,neg,OBJECTIVE,['objective']
9,neg,DESIGN,['design']
10,neg,RESULTS,['results']
11,neg,CONCLUSION,['conclusion']
12,neg,OBJECTIVE,['objective']
13,neg,STUDY DESIGN,"['study', 'design']"
14,neg,METHODS,['methods']
15,neg,"We searched the reference databases MEDLINE, BIOSIS, EMBASE, SciSearch, and Current Contents to identify all articles related to TMLR published between January 1985 and March 1997.","['we', 'searched', 'the', 'reference', 'databases', 'medline', 'biosis', 'embase', 'scisearch', 'and', 'current', 'contents', 'to', 'identify', 'all', 'articles', 'related', 'to', 'tmlr', 'published', 'between', 'january', '_year_', 'and', 'march', '_year_']"
16,neg,"We collected, analyzed, and summarized clinical studies in evidence tables.","['we', 'collected', 'analyzed', 'and', 'summarized', 'clinical', 'studies', 'in', 'evidence', 'tables']"
17,neg,RESULTS,['results']
18,neg,CONCLUSIONS,['conclusions']
19,neg,OBJECTIVE,['objective']
20,neg,This article reviews the pathogenetic determinants of these two phases of injury and summarizes the pharmacological manipulations that may restore neurological function after SCI.,"['this', 'article', 'reviews', 'the', 'pathogenetic', 'determinants', 'of', 'these', '_num_', 'phases', 'of', 'injury', 'and', 'summarizes', 'the', 'pharmacological', 'manipulations', 'that', 'may', 'restore', 'neurological', 'function', 'after', 'sci']"
21,neg,METHODS,['methods']
22,neg,"The pathogenesis of primary and secondary injury, as well as the theoretical bases of neurological recovery, are examined in detail.","['the', 'pathogenesis', 'of', 'primary', 'and', 'secondary', 'injury', 'as', 'well', 'as', 'the', 'theoretical', 'bases', 'of', 'neurological', 'recovery', 'are', 'examined', 'in', 'detail']"
23,neg,Practical limitations to inducing neural regeneration are also addressed.,"['practical', 'limitations', 'to', 'inducing', 'neural', 'regeneration', 'are', 'also', 'addressed']"
24,neg,RESULTS,['results']
25,neg,CONCLUSION,['conclusion']
26,neg,Reported is our experience with EUS in the diagnosis and staging of pancreatic cancer.,"['reported', 'is', 'our', 'experience', 'with', 'eus', 'in', 'the', 'diagnosis', 'and', 'staging', 'of', 'pancreatic', 'cancer']"
27,neg,Twenty-two patients were submitted to surgery at our Institution and EUS findings were compared with results of pathology or surgical exploration.,"['_num_', 'patients', 'were', 'submitted', 'to', 'surgery', 'at', 'our', 'institution', 'and', 'eus', 'findings', 'were', 'compared', 'with', 'results', 'of', 'pathology', 'or', 'surgical', 'exploration']"
28,pos,"Following unsuccessful IVF using fresh embryos, the patient conceived after transfer of cryopreserved-thawed embryos.","['following', 'unsuccessful', 'ivf', 'using', 'fresh', 'embryos', 'the', 'patient', 'conceived', 'after', 'transfer', 'of', 'cryopreserved', 'thawed', 'embryos']"
29,neg,Patients who relapsed while receiving adjuvant 5-fluorouracil (FU) or had 5-FU-resistant metastatic disease were included.,"['patients', 'who', 'relapsed', 'while', 'receiving', 'adjuvant', '_disease_', '_gene_', 'or', 'had', '_num_', '_gene_', 'resistant', 'metastatic', 'disease', 'were', 'included']"
30,neg,Median age was 52 years and the male-to-female ratio was 1.,"['median', 'age', 'was', '_num_', 'years', 'and', 'the', '_disease_', 'ratio', 'was', '_num_']"
31,neg,The treatment was repeated every 3 weeks until disease progression.,"['the', 'treatment', 'was', 'repeated', 'every', '_num_', 'weeks', 'until', 'disease', 'progression']"
32,neg,BACKGROUND,['background']
33,neg,DATA SOURCES,"['data', 'sources']"
34,pos,Additional studies were identified in article bibliographies.,"['additional', 'studies', 'were', 'identified', 'in', 'article', 'bibliographies']"
