,Label,Text,Tokens
0,0,Complete urinary continence was achieved in 37/44 men (84. 1%) after 6 months and in 43/44 patients (97.7%) 1 year after surgery.,"['complete', 'urinary', 'continence', 'was', 'achieved', 'in', '_ratio_', 'men', '_num_', '_num_', '_percent_', 'after', '_num_', 'months', 'and', 'in', '_ratio_', 'patients', '_num_', '_percent_', '_num_', 'year', 'after', 'surgery']"
1,0,Stress incontinence of varying degree improved with time.,"['stress', 'incontinence', 'of', 'varying', 'degree', 'improved', 'with', 'time']"
2,0,Seven patients demonstrated a moderate incontinence 4 months after radical prostatectomy and 1/7 was still incontinent after 1 year.,"['_num_', 'patients', 'demonstrated', 'a', 'moderate', 'incontinence', '_num_', 'months', 'after', 'radical', 'prostatectomy', 'and', '_ratio_', 'was', 'still', 'incontinent', 'after', '_num_', 'year']"
3,0,"Mean flow rate, maximum detrusor pressure, maximum urethral closure pressure (at rest and voluntary contraction of the sphincter) and functional urethral length showed significant changes after surgery.","['mean', 'flow', 'rate', 'maximum', '_disease_', 'pressure', 'maximum', 'urethral', 'closure', 'pressure', 'at', 'rest', 'and', 'voluntary', 'contraction', 'of', 'the', 'sphincter', 'and', 'functional', 'urethral', 'length', 'showed', 'significant', 'changes', 'after', 'surgery']"
4,0,"Detrusor instability, which was present in 31.8% of the 66 patients preoperatively, was not responsible for any case of postoperative incontinence.","['_disease_', 'instability', 'which', 'was', 'present', 'in', '_num_', '_percent_', 'of', 'the', '_num_', 'patients', 'preoperatively', 'was', 'not', 'responsible', 'for', 'any', 'case', 'of', 'postoperative', 'incontinence']"
5,0,The urethral pressure profile was significantly reduced in all patients after surgery.,"['the', 'urethral', 'pressure', 'profile', 'was', 'significantly', 'reduced', 'in', 'all', 'patients', 'after', 'surgery']"
6,0,The present study indicates that there are no preoperative alterations in bladder function such as detrusor instability to identify patients at risk for postoperative incontinence.,"['the', 'present', 'study', 'indicates', 'that', 'there', 'are', 'no', 'preoperative', 'alterations', 'in', 'bladder', 'function', 'such', 'as', '_disease_', 'instability', 'to', 'identify', 'patients', 'at', 'risk', 'for', 'postoperative', 'incontinence']"
7,0,Postoperative incontinence seems to depend upon sphincteric deficiency as expressed by the reduced pressures in the sphincteric mechanism.,"['postoperative', 'incontinence', 'seems', 'to', 'depend', 'upon', '_disease_', 'deficiency', 'as', 'expressed', 'by', 'the', 'reduced', 'pressures', 'in', 'the', '_disease_', 'mechanism']"
8,0,Female subjects exhibited a higher prevalence than male subjects of somatic depression but not a higher prevalence of pure depression.,"['female', 'subjects', 'exhibited', 'a', 'higher', 'prevalence', 'than', 'male', 'subjects', 'of', 'somatic', 'depression', 'but', 'not', 'a', 'higher', 'prevalence', 'of', 'pure', 'depression']"
9,0,"Somatic depression was associated with a high prevalence of anxiety disorder and, among female subjects, with body aches and onset of depression during early adolescence.","['somatic', 'depression', 'was', 'associated', 'with', 'a', 'high', 'prevalence', 'of', 'anxiety', 'disorder', 'and', 'among', 'female', 'subjects', 'with', 'body', 'aches', 'and', 'onset', 'of', 'depression', 'during', 'early', 'adolescence']"
10,0,The gender difference in depression may result from a difference in a specific subtype of anxious somatic depression.,"['the', 'gender', 'difference', 'in', 'depression', 'may', 'result', 'from', 'a', 'difference', 'in', 'a', 'specific', 'subtype', 'of', 'anxious', 'somatic', 'depression']"
11,0,"Static exercise resulted in a significant increase in mean blood pressure (p&lt;.05) in both SCI subjects (pre-exercise. 74.7+/-2.2 mm Hg; static exercise, 81.9+/-4.1 mm Hg) and control subjects (pre-exercise, 101.0+/-4.2 mm Hg; static exercise, 117.0+/-4","['static', 'exercise', 'resulted', 'in', 'a', 'significant', 'increase', 'in', 'mean', 'blood', 'pressure', 'p', '_ineq_', '_num_', 'in', 'both', 'sci', 'subjects', '_gene_', 'exercise', '_num_', '_unit_', 'hg', 'static', 'exercise', '_num_', '_unit_', 'hg', 'and', 'control', 'subjects', '_gene_', 'exercise', '_num_', '_unit_', 'hg', 'static', 'exercise', '_num_', '0+', '', '_num_']"
12,0,"In SCI subjects, there was no change in heart rate during exercise, whereas in control subjects heart rate increased during exercise (p&lt;.05) (pre-exercise, 8.7+/-3.8 beats/min: static exercise, 76.0+/-3.1 beats/min).","['in', 'sci', 'subjects', 'there', 'was', 'no', 'change', 'in', 'heart', 'rate', 'during', 'exercise', 'whereas', 'in', 'control', 'subjects', 'heart', 'rate', 'increased', 'during', 'exercise', 'p', '_ineq_', '_num_', '_gene_', 'exercise', '_num_', 'beats', 'min', 'static', 'exercise', '_num_', 'beats', 'min']"
13,0,There were no significant changes in the hormone levels in the SCI subjects throughout the experiment.,"['there', 'were', 'no', 'significant', 'changes', 'in', 'the', 'hormone', 'levels', 'in', 'the', 'sci', 'subjects', 'throughout', 'the', 'experiment']"
14,0,The significant increase in mean blood pressure observed in the present study indicates the presence of peripheral control from muscle receptors and evoked pressor response during static exercise in SCI subjects.,"['the', 'significant', 'increase', 'in', 'mean', 'blood', 'pressure', 'observed', 'in', 'the', 'present', 'study', 'indicates', 'the', 'presence', 'of', 'peripheral', 'control', 'from', 'muscle', 'receptors', 'and', 'evoked', 'pressor', 'response', 'during', 'static', 'exercise', 'in', 'sci', 'subjects']"
15,0,Preliminary data suggest that TMLR has an acceptable survival rate and effectively relieves angina in approximately 75% of patients.,"['preliminary', 'data', 'suggest', 'that', 'tmlr', 'has', 'an', 'acceptable', 'survival', 'rate', 'and', 'effectively', 'relieves', 'angina', 'in', 'approximately', '_num_', '_percent_', 'of', 'patients']"
16,0,"Data showing improved myocardial perfusion, cardiac function, or prognosis are inconclusive.","['data', 'showing', 'improved', 'myocardial', 'perfusion', 'cardiac', 'function', 'or', 'prognosis', 'are', 'inconclusive']"
17,0,The mechanism by which TMLR relieves angina is not yet known.,"['the', 'mechanism', 'by', 'which', 'tmlr', 'relieves', 'angina', 'is', 'not', 'yet', 'known']"
18,0,Early evidence regarding TMLR suggests it will be useful for treating patients with end-stage coronary artery disease.,"['early', 'evidence', 'regarding', 'tmlr', 'suggests', 'it', 'will', 'be', 'useful', 'for', 'treating', 'patients', 'with', '_disease_', 'coronary', 'artery', 'disease']"
19,0,"Definitive recommendations await critical analysis of the results of ongoing randomized clinical trials, post-market surveillance studies, and third-party payer acceptance.","['definitive', 'recommendations', 'await', 'critical', 'analysis', 'of', 'the', 'results', 'of', 'ongoing', 'randomized', 'clinical', 'trials', 'post', 'market', 'surveillance', 'studies', 'and', '_num_', 'party', 'payer', 'acceptance']"
20,0,"TNF alpha levels increased significantly in the injured cortex at 1 and 4, but not at 12, 24 or 72 h after severe lateral fluid-percussion trauma (2.6-2.7 atm).","['tnf', 'alpha', 'levels', 'increased', 'significantly', 'in', 'the', 'injured', 'cortex', 'at', '_num_', 'and', '_num_', 'but', 'not', 'at', '_num_', '_num_', 'or', '_num_', 'h', 'after', 'severe', 'lateral', 'fluid', 'percussion', 'trauma', '_range_', 'atm']"
21,0,TNF alpha was not elevated after mild injury.,"['tnf', 'alpha', 'was', 'not', 'elevated', 'after', 'mild', 'injury']"
22,0,"At 1 and 4 h after severe TBI, marked increases of TNF alpha were localized immunocytochemically to neurons of the injured cerebral cortex.","['at', '_num_', 'and', '_num_', 'h', 'after', 'severe', '_disease_', 'marked', 'increases', 'of', 'tnf', 'alpha', 'were', 'localized', 'immunocytochemically', 'to', 'neurons', 'of', 'the', 'injured', 'cerebral', 'cortex']"
23,0,"A small population of astrocytes, ventricular cells and microvessels, also showed positive TNF alpha staining, but this expression was not injury-dependent.","['a', 'small', 'population', 'of', 'astrocytes', 'ventricular', 'cells', 'and', 'microvessels', 'also', 'showed', 'positive', 'tnf', 'alpha', 'staining', 'but', 'this', 'expression', 'was', 'not', '_disease_']"
24,0,"Macrophages that were present in a hemorrhagic zone along the external capsule, corpus callosum and alveus hippocampus at 4 h after TBI did not express TNF alpha.","['macrophages', 'that', 'were', 'present', 'in', 'a', 'hemorrhagic', 'zone', 'along', 'the', 'external', 'capsule', 'corpus', '_disease_', 'and', 'alveus', 'hippocampus', 'at', '_num_', 'h', 'after', '_disease_', 'did', 'not', 'express', 'tnf', 'alpha']"
25,0,"Intracerebroventricular administration of a selective TNF alpha antagonist--soluble TNF alpha receptor fusion protein (sTNFR:Fc) (37.5 microg)--at 15 min before and 1 h after TBI, improved performance in a series of standardized motor tasks after injury.","['intracerebroventricular', 'administration', 'of', 'a', 'selective', 'tnf', 'alpha', 'antagonist', 'soluble', 'tnf', 'alpha', 'receptor', 'fusion', 'protein', 'stnfr', 'fc', '_num_', 'microg', 'at', '_num_', 'min', 'before', 'and', '_num_', 'h', 'after', '_disease_', 'improved', 'performance', 'in', 'a', 'series', 'of', 'standardized', 'motor', 'tasks', 'after', 'injury']"
